Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ก.ย 2568 (บาท),หัก 5%,ค่าเช่าหลักหัก 5%,วันที่จ่าย ค่าเช่าข้ามไปเดือน ต.ค,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
W,52,4059,Studio,26,1251,26,1266,0.0,15,-,-,0,0,0,120.0,4500.0,225.0,4275.0,,4395.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,53,4060,Studio,32,717,34,822,2.0,105,-,-,0,0,60,840.0,4500.0,225.0,4275.0,,5175.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,54,4069,Studio,53,1220,55,1444,2.0,224,-,-,0,0,60,1792.0,4500.0,225.0,4275.0,,6127.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,55,4070,Studio,19,1039,24,1226,5.0,187,-,-,0,0,150,1496.0,4500.0,225.0,4275.0,,5921.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,56,4071,Studio,23,714,23,714,0.0,0,-,-,0,0,0,0.0,4500.0,225.0,4275.0,,4275.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,57,4072,Studio,25,1202,30,1367,5.0,165,-,-,0,0,150,1320.0,4500.0,225.0,4275.0,,5745.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,58,4073,Studio,25,863,26,917,1.0,54,-,-,0,0,30,432.0,4500.0,225.0,4275.0,,4737.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,59,4074,Studio,28,1094,35,1221,7.0,127,-,-,0,0,210,1016.0,4500.0,225.0,4275.0,,5501.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,60,4075,Studio,19,1102,24,1365,5.0,263,-,-,0,0,150,2104.0,4500.0,225.0,4275.0,,6529.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,61,4103,Studio,20,694,24,919,4.0,225,-,-,0,0,120,1800.0,4500.0,225.0,4275.0,,6195.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-24 00:00:00,6 เดือน,31/9/2568,,
