Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า พ.ค,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน เม.ย 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่ารับล่วงหน้า ค่าเช่า เม.ย,ค่าเช่าห้อง เม.ย,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,เงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
W,21,4066,Studio IN 15/3/69,40,1632,41,1667,1,35,,,,,30.0,2.1,280,19.6,3016.13,150.8065,2865.3235,,3197.0235000000002,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
W,22,4077,Studio IN 1/3/69,42,2090,46,2195,4,105,,,,,120.0,8.4,840,58.800000000000004,5500,275.0,5225.0,,6252.2,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-01 00:00:00,1 ปี,,,
W,23,4088,Studio IN 1/3/69,45,1499,47,1596,2,97,,,,,60.0,4.2,776,54.32000000000001,5500,275.0,5225.0,,6119.52,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-01 00:00:00,1 ปี,,,
W,24,4090,Studio IN 15/3/69,31,1710,32,1750,1,40,,,,,30.0,2.1,320,22.400000000000002,3016.13,150.8065,2865.3235,,3239.8235,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
W,25,4092,Studio,51,1500,56,1660,5,160,,,,,150.0,10.500000000000002,1280,89.60000000000001,5500,275.0,5225.0,,6755.1,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-09-19 00:00:00,1 ปี,,,
W,26,4093,Studio,55,2071,62,2269,7,198,,,,,210.0,14.700000000000001,1584,110.88000000000001,5500,275.0,5225.0,,7144.58,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,27,4094,Studio,35,679,40,793,5,114,,,,,150.0,10.500000000000002,912,63.84,5500,275.0,5225.0,,6361.34,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,28,4095,Studio,26,1588,30,1702,4,114,,,,,120.0,8.4,912,63.84,5500,275.0,5225.0,,6329.24,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,29,4096,Studio,51,2512,55,2694,4,182,,,,,120.0,8.4,1456,101.92000000000002,5500,275.0,5225.0,,6911.32,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-11-10 00:00:00,1 ปี,,,
W,30,4114,Studio IN 15/3/69,17,2032,17,2087,0,55,,,,,0.0,0.0,440,30.800000000000004,3016.13,150.8065,2865.3235,,3336.1235,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
