Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน เม.ย 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน เม.ย,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน พ.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ก.พ),วันที่คืนเงินย้ายออก (ก.พ),เงินโอนคืนผู้เช่าย้ายออก (มี.ค),วันที่คืนเงินย้ายออก (มี.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
W,51,4058,Studio,2,56,2,81,0.0,25.0,-,-,0,0,0,200.0,4500.0,,,2568-05-20 00:00:00,4700.0,M Estate 1788921183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,52,4059,Studio,4,114,11,437,7.0,323.0,-,-,0,0,210,2584.0,4500.0,,,2568-05-20 00:00:00,7294.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,53,4060,Studio,12,40,15,192,3.0,152.0,-,-,0,0,90,1216.0,4500.0,,,2568-05-20 00:00:00,5806.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,54,4069,Studio,33,153,38,482,5.0,329.0,-,-,0,0,150,2632.0,4500.0,,,2568-05-20 00:00:00,7282.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,55,4070,Studio,2,63,8,379,6.0,316.0,-,-,0,0,180,2528.0,4500.0,,,2568-05-20 00:00:00,7208.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,56,4071,Studio,2,72,9,299,7.0,227.0,-,-,0,0,210,1816.0,4500.0,,,2568-05-20 00:00:00,6526.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,57,4072,Studio,2,49,6,256,4.0,207.0,-,-,0,0,120,1656.0,4500.0,,,2568-05-20 00:00:00,6276.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,58,4073,Studio,2,41,3,135,1.0,94.0,-,-,0,0,30,752.0,4500.0,,,2568-05-20 00:00:00,5282.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,59,4074,Studio,1,10,8,379,7.0,369.0,-,-,0,0,210,2952.0,4500.0,,,2568-05-20 00:00:00,7662.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,60,4075,Studio,1,30,4,183,3.0,153.0,-,-,0,0,90,1224.0,4500.0,,,2568-05-20 00:00:00,5814.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,61,4103,Studio,1,5,6,9,5.0,4.0,-,-,0,0,150,32.0,4500.0,,,2568-05-20 00:00:00,4682.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-24 00:00:00,6 เดือน,31/9/2568,,
W,62,4104,Studio,1,3,2,123,1.0,120.0,-,-,0,0,30,960.0,4500.0,,,2568-05-20 00:00:00,5490.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-24 00:00:00,6 เดือน,31/9/2568,,
W,63,4105,Studio,0,2,1,50,1.0,48.0,-,-,0,0,30,384.0,4500.0,,,2568-05-20 00:00:00,4914.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-24 00:00:00,6 เดือน,31/9/2568,,
W,64,4106,Studio,0,3,1,41,1.0,38.0,-,-,0,0,30,304.0,4500.0,,,2568-05-20 00:00:00,4834.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-24 00:00:00,6 เดือน,31/9/2568,,
W,65,4107,Studio,3,4,6,231,3.0,227.0,-,-,0,0,90,1816.0,4500.0,,,2568-05-20 00:00:00,6406.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-24 00:00:00,6 เดือน,31/9/2568,,
,,,,,,ยูนิตน้ำ+ไฟ,,286.0,15058.0,,,0,0,8580,120464.0,292500.0,0,0,,421544.0,,,0,0,0,0,0,,,,,0,0,0,0,,0,,,,570375.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0,,หักภาษี ณ ที่จ่าย 5%,,14625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,277875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดเข้า,0,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,สลิปโอนค่าเช่า,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าเช่า Studio/เดือน (บาท),,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,สรุป,,ยูนิต,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,จำนวนห้องเช่า,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,รายได้ค่าเช่า,,277875,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ,,286,8580,บาท,8580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าไฟ,,15058,120464,บาท,120464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าทำความสะอาด,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าปรับ,,,0,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,รวม,,,406919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค้างชำระรวม,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,** ข้อมูล ณ วันที่ 7/5/2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
