Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า พ.ค,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน พ.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่ารับล่วงหน้า ค่าเช่า เม.ย,ค่าเช่าห้อง เม.ย,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,เงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
N,54,5031,Studio IN 23/3/69,1,18,4,375,3.0,357,,,,,90.0,6.300000000000001,2856,199.92000000000002,4500.0,225.0,4275.0,,7427.22,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-23 00:00:00,1 ปี,,,
N,55,5032,Studio IN 23/3/69,1,11,8,240,7.0,229,,,,,210.0,14.700000000000001,1832,128.24,4500.0,225.0,4275.0,,6459.94,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-23 00:00:00,1 ปี,,,
N,56,5033,Studio IN 23/3/69,1,16,8,284,7.0,268,,,,,210.0,14.700000000000001,2144,150.08,4500.0,225.0,4275.0,,6793.78,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-23 00:00:00,1 ปี,,,
N,57,5034,Studio IN 23/3/69,1,13,6,264,5.0,251,,,,,150.0,10.500000000000002,2008,140.56,4500.0,225.0,4275.0,,6584.0599999999995,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-23 00:00:00,1 ปี,,,
N,58,5035,Studio IN 23/3/69,0,8,9,288,9.0,280,,,,,270.0,18.900000000000002,2240,156.8,4500.0,225.0,4275.0,,6960.700000000001,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-23 00:00:00,1 ปี,,,
N,59,5036,Studio IN 23/3/69,3,19,11,357,8.0,338,,,,,240.0,16.8,2704,189.28000000000003,4500.0,225.0,4275.0,,7425.08,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-23 00:00:00,1 ปี,,,
N,60,5037,Studio IN 11/4/69,1,0,2,0,1.0,0,,,,,30.0,2.1,0,0,3000.0,150.0,2850.0,,2882.1,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,61,5038,Studio IN 11/4/69,1,0,3,88,2.0,88,,,,,60.0,4.2,704,49.28,3000.0,150.0,2850.0,,3667.48,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,62,5039,Studio IN 11/4/69,1,2,3,105,2.0,103,,,,,60.0,4.2,824,57.68000000000001,3000.0,150.0,2850.0,,3795.88,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,63,5040,Studio IN 11/4/69,2,4,3,116,1.0,112,,,,,30.0,2.1,896,62.720000000000006,3000.0,150.0,2850.0,,3840.82,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,64,5041,Studio IN 11/4/69,1,10,3,85,2.0,75,,,,,60.0,4.2,600,42.00000000000001,3000.0,150.0,2850.0,,3556.2,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,65,5042,Studio IN 11/4/69,1,12,3,200,2.0,188,,,,,60.0,4.2,1504,105.28000000000002,3000.0,150.0,2850.0,,4523.48,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,66,5043,Studio IN 11/4/69,2,6,8,72,6.0,66,,,,,180.0,12.600000000000001,528,36.96,3000.0,150.0,2850.0,,3607.56,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,67,5044,Studio IN 11/4/69,2,8,3,50,1.0,42,,,,,30.0,2.1,336,23.520000000000003,3000.0,150.0,2850.0,,3241.62,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,68,5045,Studio IN 11/4/69,1,8,1,52,0.0,44,,,,,0.0,0.0,352,24.64,3000.0,150.0,2850.0,,3226.64,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,69,5046,Studio IN 11/4/69,1,6,2,66,1.0,60,,,,,30.0,2.1,480,33.6,3000.0,150.0,2850.0,,3395.7,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,70,5047,Studio IN 11/4/69,2,8,2,13,0.0,5,,,,,0.0,0.0,40,2.8000000000000003,3000.0,150.0,2850.0,,2892.8,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
