Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน พ.ย 2568 (บาท),หัก 5%,ค่าเช่าหลัง หัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
W,53,4027,Studio,10,290,10,290,0.0,0.0,10/12/2568,M Estate 1983859190,4500,4275,0.0,0,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,54,4028,Studio,6,316,6,316,0.0,0.0,10/12/2568,M Estate 1983859190,4500,4275,0.0,0,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,55,4029,Studio,8,297,9,297,1.0,0.0,10/12/2568,M Estate 1983859190,4500,4275,30.0,2.1,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4307.1,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,56,4030,Studio,25,1230,25,1230,0.0,0.0,10/12/2568,M Estate 1983859190,4500,4275,0.0,0,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,57,4031,Studio,25,1384,25,1384,0.0,0.0,10/12/2568,M Estate 1983859190,4500,4275,0.0,0,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,58,4032,Studio,16,1155,16,1156,0.0,1.0,10/12/2568,M Estate 1983859190,4500,4275,0.0,0,8.0,0.56,4500,225.0,4275.0,2568-12-10 00:00:00,4283.56,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,59,4033,Studio,18,344,18,344,0.0,0.0,10/12/2568,M Estate 1983859190,4500,4275,0.0,0,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,60,4040,Studio,25,901,26,901,1.0,0.0,10/12/2568,M Estate 1983859190,4500,4275,30.0,2.1,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4307.1,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,61,4058,Studio,15,599,16,654,1.0,55.0,-,-,0,0,30.0,2.1,440.0,30.800000000000004,4500,225.0,4275.0,2568-12-10 00:00:00,4777.9,M Estate 1788921183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,62,4059,Studio,26,1266,28,1443,2.0,177.0,-,-,0,0,60.0,4.2,1416.0,99.12,4500,225.0,4275.0,2568-12-10 00:00:00,5854.32,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,63,4060,Studio,35,939,35,939,0.0,0.0,-,-,0,0,0.0,0,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4275.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,64,4065,Studio,12,217,12,217,0.0,0.0,10/12/2568,M Estate 1983859190,4500,4275,0.0,0,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4275.0,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,65,4067,Studio,5,354,5,355,0.0,1.0,10/12/2568,M Estate 1983859190,4500,4275,0.0,0,8.0,0.56,4500,225.0,4275.0,2568-12-10 00:00:00,4283.56,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,66,4068,Studio,5,202,41,202,36.0,0.0,10/12/2568,M Estate 1983859190,4500,4275,1080.0,75.60000000000001,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,5430.6,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,67,4069,Studio,55,1460,56,1460,1.0,0.0,-,-,0,0,30.0,2.1,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4307.1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,68,4070,Studio,24,1233,25,1518,1.0,285.0,-,-,0,0,30.0,2.1,2280.0,159.60000000000002,4500,225.0,4275.0,2568-12-10 00:00:00,6746.7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,69,4071,Studio,23,714,23,714,0.0,0.0,-,-,0,0,0.0,0,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4275.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,70,4072,Studio,30,1370,30,1370,0.0,0.0,-,-,0,0,0.0,0,0.0,0.0,4500,225.0,4275.0,2568-12-10 00:00:00,4275.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
