Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน ธ.ค 2568 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่าข้ามไปเดือน ม.ค,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,36,2044,Studio,46,1546,49,1605,3.0,59.0,-,-,-,-,90.0,6.300000000000001,472.0,33.040000000000006,4500,225.0,4275.0,2569-01-23 00:00:00,4876.34,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,37,2045,Studio,68,3540,75,3540,7.0,0.0,-,-,-,-,210.0,14.700000000000001,0.0,0.0,4500,225.0,4275.0,2569-01-23 00:00:00,4499.7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,38,2046,Studio,9,1401,9,1446,0.0,45.0,-,-,-,-,0.0,0,360.0,25.200000000000003,4500,225.0,4275.0,2569-01-23 00:00:00,4660.2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,39,2047,Studio,52,1889,59,1991,7.0,102.0,-,-,-,-,210.0,14.700000000000001,816.0,57.120000000000005,4500,225.0,4275.0,2569-01-23 00:00:00,5372.82,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,40,2048,Studio,41,2035,48,2191,7.0,156.0,-,-,-,-,210.0,14.700000000000001,1248.0,87.36000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,5835.0599999999995,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
,41,4009,Studio,13,867,15,977,2.0,110.0,,,,,60.0,4.2,880.0,61.60000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,5280.8,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,42,4011,Studio,58,3191,65,3559,7.0,368.0,-,-,-,-,210.0,14.700000000000001,2944.0,206.08,4500,225.0,4275.0,2569-01-23 00:00:00,7649.78,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,43,4012,Studio,46,1973,50,2099,4.0,126.0,-,-,-,-,120.0,8.4,1008.0,70.56,4500,225.0,4275.0,2569-01-23 00:00:00,5481.96,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,44,4013,Studio,66,2146,72,2396,6.0,250.0,-,-,-,-,180.0,12.600000000000001,2000.0,140.0,4500,225.0,4275.0,2569-01-23 00:00:00,6607.6,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,45,4014,Studio,49,1727,50,1821,1.0,94.0,-,-,-,-,30.0,2.1,752.0,52.64000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,5111.74,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
